City,Temperature_(K),Temperature_(C),Temperature_(F),Feels_Like_Temp_(K),Feels_Like_Temp_(C),Feels_Like_Temp_(F),Wind_Speed_(m/s),Humidity_(%),Description,Sunrise_(local_time),Sunset_(local_time)
New York City,277.49,4.34,39.81,274.77,1.62,34.92,3.13,66,light rain,2023-01-25 07:12:12,2023-01-25 17:04:06
Los Angeles,289.12,15.97,60.75,287.79,14.64,58.35,0,39,clear sky,2023-01-25 06:54:28,2023-01-25 17:15:48
Chicago,273.94,0.79,33.42,270.99,-2.16,28.11,2.57,94,snow,2023-01-25 07:09:33,2023-01-25 16:55:56
Houston,282.12,8.97,48.15,278.56,5.41,41.74,7.72,69,overcast clouds,2023-01-25 07:14:50,2023-01-25 17:52:22
Phoenix,283.38,10.23,50.41,281.89,8.74,47.73,2.24,55,clear sky,2023-01-25 07:28:36,2023-01-25 17:52:18
Philadelphia,276.52,3.37,38.07,272.38,-0.77,30.61,5.14,76,light rain,2023-01-25 07:15:01,2023-01-25 17:10:33
San Antonio,285.19,12.04,53.67,283.7,10.55,50.99,5.66,48,clear sky,2023-01-25 07:26:44,2023-01-25 18:05:31
San Diego,289.3,16.15,61.07,288.07,14.92,58.86,0.45,42,scattered clouds,2023-01-25 06:47:30,2023-01-25 17:14:04
Dallas,279.14,5.99,42.78,277.89,4.74,40.53,1.79,74,overcast clouds,2023-01-25 07:26:08,2023-01-25 17:52:25
San Jose,285.82,12.67,54.81,284.66,11.51,52.72,0.89,58,clear sky,2023-01-25 07:15:56,2023-01-25 17:23:33
Austin,284.23,11.08,51.94,282.83,9.68,49.42,3.58,55,clear sky,2023-01-25 07:25:16,2023-01-25 18:00:58
San Francisco,286.01,12.86,55.15,284.92,11.77,53.19,4.63,60,clear sky,2023-01-25 07:18:59,2023-01-25 17:24:42
Seattle,279.81,6.66,43.99,277.56,4.41,39.94,3.13,93,mist,2023-01-25 07:44:17,2023-01-25 16:58:42
Washington D.C.,276.99,3.84,38.91,274.19,1.04,33.87,3.09,85,moderate rain,2023-01-25 07:20:03,2023-01-25 17:20:31
Miami,301.06,27.91,82.24,303.77,30.62,87.12,3.13,71,clear sky,2023-01-25 07:07:12,2023-01-25 17:58:37
Atlanta,290.14,16.99,62.58,289.83,16.68,62.02,5.66,74,broken clouds,2023-01-25 07:38:30,2023-01-25 18:00:53
Detroit,273.32,0.17,32.31,267.16,-5.99,21.22,7.72,97,snow,2023-01-25 07:52:22,2023-01-25 17:36:16
Las Vegas,284.1,10.95,51.71,282.11,8.96,48.13,3.13,33,clear sky,2023-01-25 06:46:25,2023-01-25 16:59:00
Salt Lake City,271.3,-1.85,28.67,271.3,-1.85,28.67,0.45,82,mist,2023-01-25 07:43:47,2023-01-25 17:35:39
Denver,270.07,-3.08,26.46,270.07,-3.08,26.46,0.89,80,overcast clouds,2023-01-25 07:13:44,2023-01-25 17:10:26
